system,seed,ct_bit_identical,n_valid_match,kpi_exact,pass
GroundSim,1000,1,1,1,1
GroundSim,1001,1,1,1,1
GroundSim,1002,1,1,1,1
GroundSim,1003,1,1,1,1
GroundSim,1004,1,1,1,1
GroundSim,1005,1,1,1,1
GroundSim,1006,1,1,1,1
GroundSim,1007,1,1,1,1
GroundSim,1008,1,1,1,1
GroundSim,1009,1,1,1,1
GroundSim-DEC,1000,1,1,1,1
GroundSim-DEC,1001,1,1,1,1
GroundSim-DEC,1002,1,1,1,1
GroundSim-DEC,1003,1,1,1,1
GroundSim-DEC,1004,1,1,1,1
GroundSim-DEC,1005,1,1,1,1
GroundSim-DEC,1006,1,1,1,1
GroundSim-DEC,1007,1,1,1,1
GroundSim-DEC,1008,1,1,1,1
GroundSim-DEC,1009,1,1,1,1
DeepSim,1000,1,1,1,1
DeepSim,1001,1,1,1,1
DeepSim,1002,1,1,1,1
DeepSim,1003,1,1,1,1
DeepSim,1004,1,1,1,1
DeepSim,1005,1,1,1,1
DeepSim,1006,1,1,1,1
DeepSim,1007,1,1,1,1
DeepSim,1008,1,1,1,1
DeepSim,1009,1,1,1,1
RefSim-M,1000,1,1,1,1
RefSim-M,1001,1,1,1,1
RefSim-M,1002,1,1,1,1
RefSim-M,1003,1,1,1,1
RefSim-M,1004,1,1,1,1
RefSim-M,1005,1,1,1,1
RefSim-M,1006,1,1,1,1
RefSim-M,1007,1,1,1,1
RefSim-M,1008,1,1,1,1
RefSim-M,1009,1,1,1,1
RefSim-V,1000,1,1,1,1
RefSim-V,1001,1,1,1,1
RefSim-V,1002,1,1,1,1
RefSim-V,1003,1,1,1,1
RefSim-V,1004,1,1,1,1
RefSim-V,1005,1,1,1,1
RefSim-V,1006,1,1,1,1
RefSim-V,1007,1,1,1,1
RefSim-V,1008,1,1,1,1
RefSim-V,1009,1,1,1,1
RefSim-W,1000,1,1,1,1
RefSim-W,1001,1,1,1,1
RefSim-W,1002,1,1,1,1
RefSim-W,1003,1,1,1,1
RefSim-W,1004,1,1,1,1
RefSim-W,1005,1,1,1,1
RefSim-W,1006,1,1,1,1
RefSim-W,1007,1,1,1,1
RefSim-W,1008,1,1,1,1
RefSim-W,1009,1,1,1,1
