system,seed,deadlock.deadlock_count,processing.proc_clamp,processing.proc_draws,repair.repair_clamp,repair.repair_draws,repair.repair_logu_draws,repair.repair_logu_guard,repair.stress_calls,repair.stress_floor,routing.mask_calls,routing.mask_effective,routing.mask_fallback,survival.ttf_clamp,survival.ttf_draws,survival.ttf_logu_draws,survival.ttf_logu_guard
GroundSim,1000,0,1,176707,0,96,0,0,96,0,0,0,0,0,105,0,0
GroundSim,1001,0,0,173357,0,90,0,0,90,0,0,0,0,0,99,0,0
GroundSim,1002,1,0,177659,0,95,0,0,95,0,0,0,0,0,104,0,0
GroundSim,1003,0,1,178188,0,99,0,0,99,0,0,0,0,0,108,0,0
GroundSim,1004,0,0,178594,0,94,0,0,94,0,0,0,0,0,103,0,0
GroundSim,1005,0,2,177894,0,95,0,0,95,0,0,0,0,0,103,0,0
GroundSim,1006,0,2,177922,0,91,0,0,91,0,0,0,0,0,100,0,0
GroundSim,1007,0,2,178060,0,91,0,0,91,0,0,0,0,0,100,0,0
GroundSim,1008,0,0,180876,0,92,0,0,92,0,0,0,0,0,101,0,0
GroundSim,1009,0,1,180735,0,98,0,0,98,0,0,0,0,0,107,0,0
GroundSim-DEC,1000,0,2,177310,1,93,0,0,93,0,0,0,0,0,102,0,0
GroundSim-DEC,1001,0,1,179654,0,91,0,0,91,0,0,0,0,0,100,0,0
GroundSim-DEC,1002,0,0,178748,0,92,0,0,92,0,0,0,0,0,101,0,0
GroundSim-DEC,1003,0,2,181213,0,92,0,0,92,0,0,0,0,0,101,0,0
GroundSim-DEC,1004,0,1,178822,0,95,0,0,95,0,0,0,0,0,104,0,0
GroundSim-DEC,1005,0,0,180899,1,93,0,0,93,0,0,0,0,0,102,0,0
GroundSim-DEC,1006,0,1,175555,0,91,0,0,91,0,0,0,0,0,100,0,0
GroundSim-DEC,1007,0,1,180979,0,97,0,0,97,0,0,0,0,0,106,0,0
GroundSim-DEC,1008,0,1,179937,0,94,0,0,94,0,0,0,0,0,103,0,0
GroundSim-DEC,1009,0,0,179186,0,94,0,0,94,0,0,0,0,0,103,0,0
DeepSim,1000,0,0,179295,0,100,100,0,0,0,442584,442584,0,0,109,109,0
DeepSim,1001,1,0,178361,0,101,101,0,0,0,440371,440371,0,0,109,109,0
DeepSim,1002,0,0,180511,0,104,104,0,0,0,445683,445683,0,0,113,113,0
DeepSim,1003,0,1,180503,0,107,107,0,0,0,445702,445702,0,0,116,116,0
DeepSim,1004,0,1,178687,0,95,95,0,0,0,441165,441165,0,0,104,104,0
DeepSim,1005,2,0,178526,0,98,98,0,0,0,440803,440803,0,0,106,106,0
DeepSim,1006,3,0,179944,0,97,97,0,0,0,444094,444094,0,0,106,106,0
DeepSim,1007,1,0,178622,0,93,93,0,0,0,440959,440959,0,0,102,102,0
DeepSim,1008,0,0,178954,1,102,102,0,0,0,441915,441915,0,0,111,111,0
DeepSim,1009,0,0,179731,0,103,103,0,0,0,443736,443736,0,0,112,112,0
RefSim-M,1000,0,21,187780,0,93,0,0,0,0,463535,0,0,0,102,0,0
RefSim-M,1001,0,16,189415,0,90,0,0,0,0,467579,0,0,0,99,0,0
RefSim-M,1002,0,20,186565,0,97,0,0,0,0,460595,0,0,0,106,0,0
RefSim-M,1003,0,17,187027,0,109,0,0,0,0,461592,0,0,0,118,0,0
RefSim-M,1004,0,19,185927,0,103,0,0,0,0,458976,0,0,0,112,0,0
RefSim-M,1005,0,20,188962,0,96,0,0,0,0,466475,0,0,0,105,0,0
RefSim-M,1006,0,21,181877,0,101,0,0,0,0,449017,0,0,0,110,0,0
RefSim-M,1007,0,18,185093,0,124,0,0,0,0,456929,0,0,0,133,0,0
RefSim-M,1008,4,24,185906,0,105,0,0,0,0,458862,0,0,0,114,0,0
RefSim-M,1009,0,18,186612,0,104,0,0,0,0,460620,0,0,0,113,0,0
RefSim-V,1000,0,0,191928,0,93,0,0,0,0,475119,0,0,0,102,0,0
RefSim-V,1001,0,0,194017,0,93,0,0,0,0,480149,0,0,0,101,0,0
RefSim-V,1002,1,0,192540,0,102,0,0,0,0,476601,0,0,0,111,0,0
RefSim-V,1003,0,0,189957,0,109,0,0,0,0,470161,0,0,0,118,0,0
RefSim-V,1004,0,0,189679,0,103,0,0,0,0,469594,0,0,0,112,0,0
RefSim-V,1005,0,0,193173,0,97,0,0,0,0,478147,0,0,0,106,0,0
RefSim-V,1006,0,0,188213,0,104,0,0,0,0,466007,0,0,0,112,0,0
RefSim-V,1007,0,0,189033,0,126,0,0,0,0,467981,0,0,0,135,0,0
RefSim-V,1008,1,0,190457,0,105,0,0,0,0,471370,0,0,0,114,0,0
RefSim-V,1009,0,2,189557,0,107,0,0,0,0,469199,0,0,0,115,0,0
RefSim-W,1000,0,18,187174,0,98,0,0,0,0,462035,0,0,0,107,0,0
RefSim-W,1001,1,19,189527,0,97,0,0,0,0,467845,0,0,0,106,0,0
