station,t_op_s,h_true
M1.1,0.0,5.21978021978022e-06
M1.1,953.4750870700128,4.6800610468976345e-06
M1.1,1906.9501741400256,4.140341874015049e-06
M1.1,2860.4252612100386,3.6006227011324653e-06
M1.1,3813.9003482800513,3.06090352824988e-06
M1.1,4767.375435350064,2.5211843553672953e-06
M1.1,5720.850522420077,1.981465182484711e-06
M1.1,6674.32560949009,1.4417460096021257e-06
M1.1,7627.800696560103,1.098901098901099e-06
M1.1,8581.275783630115,1.098901098901099e-06
M1.1,9534.750870700129,1.098901098901099e-06
M1.1,10488.22595777014,1.098901098901099e-06
M1.1,11441.701044840154,1.098901098901099e-06
M1.1,12395.176131910166,1.098901098901099e-06
M1.1,13348.65121898018,1.098901098901099e-06
M1.1,14302.126306050191,1.098901098901099e-06
M1.1,15255.601393120205,1.098901098901099e-06
M1.1,16209.076480190219,1.098901098901099e-06
M1.1,17162.55156726023,1.098901098901099e-06
M1.1,18116.026654330242,1.098901098901099e-06
M1.1,19069.501741400258,1.098901098901099e-06
M1.1,20022.97682847027,1.098901098901099e-06
M1.1,20976.45191554028,1.098901098901099e-06
M1.1,21929.927002610293,1.098901098901099e-06
M1.1,22883.40208968031,1.098901098901099e-06
M1.1,23836.87717675032,1.098901098901099e-06
M1.1,24790.352263820332,1.098901098901099e-06
M1.1,25743.827350890348,1.098901098901099e-06
M1.1,26697.30243796036,1.098901098901099e-06
M1.1,27650.77752503037,1.098901098901099e-06
M1.1,28604.252612100383,1.098901098901099e-06
M1.1,29557.7276991704,1.098901098901099e-06
M1.1,30511.20278624041,1.098901098901099e-06
M1.1,31464.677873310422,1.098901098901099e-06
M1.1,32418.152960380437,1.098901098901099e-06
M1.1,33371.628047450446,1.098901098901099e-06
M1.1,34325.10313452046,1.098901098901099e-06
M1.1,35278.57822159048,1.098901098901099e-06
M1.1,36232.053308660485,1.098901098901099e-06
M1.1,37185.5283957305,1.098901098901099e-06
M1.1,38139.003482800515,1.098901098901099e-06
M1.1,39092.478569870524,1.098901098901099e-06
M1.1,40045.95365694054,1.098901098901099e-06
M1.1,40999.428744010555,1.098901098901099e-06
M1.1,41952.90383108056,1.098901098901099e-06
M1.1,42906.37891815058,1.098901098901099e-06
M1.1,43859.854005220586,1.098901098901099e-06
M1.1,44813.3290922906,1.098901098901099e-06
M1.1,45766.80417936062,1.098901098901099e-06
M1.1,46720.279266430625,1.098901098901099e-06
M1.1,47673.75435350064,1.098901098901099e-06
M1.1,48627.229440570656,1.098901098901099e-06
M1.1,49580.704527640664,1.098901098901099e-06
M1.1,50534.17961471068,1.098901098901099e-06
M1.1,51487.654701780695,1.098901098901099e-06
M1.1,52441.1297888507,1.098901098901099e-06
M1.1,53394.60487592072,1.098901098901099e-06
M1.1,54348.079962990734,1.098901098901099e-06
M1.1,55301.55505006074,1.098901098901099e-06
M1.1,56255.03013713076,1.098901098901099e-06
M1.1,57208.505224200766,1.098901098901099e-06
M1.1,58161.98031127078,1.098901098901099e-06
M1.1,59115.4553983408,1.2098720006167437e-06
M1.1,60068.930485410805,1.3435186780324445e-06
M1.1,61022.40557248082,1.491928433174677e-06
M1.1,61975.880659550836,1.6567320470562841e-06
M1.1,62929.355746620844,1.8397404424438272e-06
M1.1,63882.83083369086,2.0429645829434632e-06
M1.1,64836.305920760875,2.268637570209196e-06
M1.1,65789.78100783088,2.5192391820857693e-06
M1.1,66743.25609490089,2.7975231213203193e-06
M1.1,67696.73118197091,3.106547274261687e-06
M1.1,68650.20626904092,3.4497073120410862e-06
M1.1,69603.68135611093,3.830774003456312e-06
M1.1,70557.15644318095,4.253934649567146e-06
M1.1,71510.63153025096,4.723839095300551e-06
M1.1,72464.10661732097,5.24565082365817e-06
M1.1,73417.58170439099,5.825103693967999e-06
M1.1,74371.056791461,6.468564947641029e-06
M1.1,75324.53187853101,7.183105173763462e-06
M1.1,76278.00696560103,7.976576003331948e-06
M1.1,77231.48205267104,8.857696385864726e-06
M1.1,78184.95713974105,9.836148396428179e-06
M1.1,79138.43222681107,1.0922683625841133e-05
M1.1,80091.90731388108,1.2129241323111947e-05
M1.1,81045.38240095109,1.3469079588300986e-05
M1.1,81998.85748802111,1.4956921057403895e-05
