system,kpi,statistic,p_value,q_bh,reject_at_alpha
GroundSim-DEC,avg_breakdown_repair,19.0,0.431640625,0.5755208333333333,False
GroundSim-DEC,buffer_time_mean,27.0,1.0,1.0,False
GroundSim-DEC,buffer_wait_mean,15.0,0.232421875,0.46875,False
GroundSim-DEC,cycle_time_mean,16.0,0.275390625,0.46875,False
GroundSim-DEC,cycle_time_std,17.0,0.322265625,0.46875,False
GroundSim-DEC,fe_cycle,15.0,0.232421875,0.46875,False
GroundSim-DEC,fe_system,15.0,0.232421875,0.46875,False
GroundSim-DEC,inline_wait_mean,15.0,0.232421875,0.46875,False
GroundSim-DEC,multi_rework_rate,23.0,0.6953125,0.8208333333333333,False
GroundSim-DEC,n_breakdowns,19.5,0.75,0.8208333333333333,False
GroundSim-DEC,n_buffer_events,14.0,0.193359375,0.46875,False
GroundSim-DEC,n_valid,14.0,0.193359375,0.46875,False
GroundSim-DEC,processing_mean,24.0,0.76953125,0.8208333333333333,False
GroundSim-DEC,rework_rate,16.0,0.275390625,0.46875,False
GroundSim-DEC,system_time_mean,13.0,0.16015625,0.46875,False
GroundSim-DEC,tech_availability,17.0,0.322265625,0.46875,False
DeepSim,avg_breakdown_repair,7.0,0.037109375,0.07421875,False
DeepSim,buffer_time_mean,7.0,0.037109375,0.07421875,False
DeepSim,buffer_wait_mean,7.0,0.037109375,0.07421875,False
DeepSim,cycle_time_mean,9.0,0.064453125,0.10312500000000001,False
DeepSim,cycle_time_std,14.0,0.193359375,0.23798076923076925,False
DeepSim,fe_cycle,18.0,0.375,0.4,False
DeepSim,fe_system,13.0,0.16015625,0.21354166666666666,False
DeepSim,inline_wait_mean,15.0,0.232421875,0.265625,False
DeepSim,multi_rework_rate,24.0,0.76953125,0.76953125,False
DeepSim,n_breakdowns,4.0,0.013671875,0.07291666666666666,False
DeepSim,n_buffer_events,9.0,0.064453125,0.10312500000000001,False
DeepSim,n_valid,7.0,0.037109375,0.07421875,False
DeepSim,processing_mean,0.0,0.001953125,0.03125,True
DeepSim,rework_rate,1.0,0.00390625,0.03125,True
DeepSim,system_time_mean,6.0,0.02734375,0.07421875,False
DeepSim,tech_availability,10.0,0.083984375,0.12215909090909091,False
RefSim-M,avg_breakdown_repair,18.0,0.375,0.42857142857142855,False
RefSim-M,buffer_time_mean,17.0,0.322265625,0.3966346153846154,False
RefSim-M,buffer_wait_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-M,cycle_time_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-M,cycle_time_std,14.0,0.193359375,0.28125,False
RefSim-M,fe_cycle,0.0,0.001953125,0.004464285714285714,True
RefSim-M,fe_system,2.0,0.005859375,0.01171875,True
RefSim-M,inline_wait_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-M,multi_rework_rate,0.0,0.001953125,0.004464285714285714,True
RefSim-M,n_breakdowns,13.0,0.16015625,0.25625000000000003,False
RefSim-M,n_buffer_events,0.0,0.001953125,0.004464285714285714,True
RefSim-M,n_valid,0.0,0.001953125,0.004464285714285714,True
RefSim-M,processing_mean,19.0,0.431640625,0.46041666666666664,False
RefSim-M,rework_rate,17.0,0.322265625,0.3966346153846154,False
RefSim-M,system_time_mean,3.0,0.009765625,0.017361111111111112,True
RefSim-M,tech_availability,23.0,0.6953125,0.6953125,False
RefSim-V,avg_breakdown_repair,13.0,0.16015625,0.19711538461538464,False
RefSim-V,buffer_time_mean,0.0,0.001953125,0.00390625,True
RefSim-V,buffer_wait_mean,0.0,0.001953125,0.00390625,True
RefSim-V,cycle_time_mean,1.0,0.00390625,0.00625,True
RefSim-V,cycle_time_std,18.0,0.375,0.42857142857142855,False
RefSim-V,fe_cycle,9.0,0.064453125,0.09375,False
RefSim-V,fe_system,1.0,0.00390625,0.00625,True
RefSim-V,inline_wait_mean,24.0,0.76953125,0.76953125,False
RefSim-V,multi_rework_rate,0.0,0.001953125,0.00390625,True
RefSim-V,n_breakdowns,12.0,0.125,0.16666666666666666,False
RefSim-V,n_buffer_events,0.0,0.001953125,0.00390625,True
RefSim-V,n_valid,0.0,0.001953125,0.00390625,True
RefSim-V,processing_mean,0.0,0.001953125,0.00390625,True
RefSim-V,rework_rate,0.0,0.001953125,0.00390625,True
RefSim-V,system_time_mean,0.0,0.001953125,0.00390625,True
RefSim-V,tech_availability,24.0,0.76953125,0.76953125,False
RefSim-W,avg_breakdown_repair,15.0,0.232421875,0.3098958333333333,False
RefSim-W,buffer_time_mean,17.0,0.322265625,0.3966346153846154,False
RefSim-W,buffer_wait_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-W,cycle_time_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-W,cycle_time_std,20.0,0.4921875,0.525,False
RefSim-W,fe_cycle,0.0,0.001953125,0.004464285714285714,True
RefSim-W,fe_system,3.0,0.009765625,0.017361111111111112,True
RefSim-W,inline_wait_mean,0.0,0.001953125,0.004464285714285714,True
RefSim-W,multi_rework_rate,0.0,0.001953125,0.004464285714285714,True
RefSim-W,n_breakdowns,0.0,0.00390625,0.0078125,True
RefSim-W,n_buffer_events,0.0,0.001953125,0.004464285714285714,True
RefSim-W,n_valid,0.0,0.001953125,0.004464285714285714,True
RefSim-W,processing_mean,18.0,0.375,0.42857142857142855,False
RefSim-W,rework_rate,21.0,0.556640625,0.556640625,False
RefSim-W,system_time_mean,4.0,0.013671875,0.021875000000000002,True
RefSim-W,tech_availability,15.0,0.232421875,0.3098958333333333,False
