section,config,component,n_total,n_events,n_censored
horizon,days_0014,released_order,18580,,
horizon,days_0014,processing,195380,,
horizon,days_0014,routing,195360,,
horizon,days_0014,survival,51,42,9
horizon,days_0014,repair,42,,
horizon,days_0031,released_order,40681,,
horizon,days_0031,processing,428689,,
horizon,days_0031,routing,428670,,
horizon,days_0031,survival,102,93,9
horizon,days_0031,repair,93,,
horizon,days_0061,released_order,79968,,
horizon,days_0061,processing,842362,,
horizon,days_0061,routing,842345,,
horizon,days_0061,survival,195,186,9
horizon,days_0061,repair,186,,
horizon,days_0091,released_order,119411,,
horizon,days_0091,processing,1258604,,
horizon,days_0091,routing,1258585,,
horizon,days_0091,survival,284,275,9
horizon,days_0091,repair,275,,
horizon,days_0183,released_order,239145,,
horizon,days_0183,processing,2519717,,
horizon,days_0183,routing,2519696,,
horizon,days_0183,survival,556,547,9
horizon,days_0183,repair,547,,
horizon,days_0365,released_order,478530,,
horizon,days_0365,processing,5043466,,
horizon,days_0365,routing,5043440,,
horizon,days_0365,survival,1102,1093,9
horizon,days_0365,repair,1093,,
draw365,production,released_order,478530,,
draw365,production,processing,5043466,,
draw365,production,routing,5043440,,
draw365,production,survival,1102,1093,9
draw365,production,repair,1093,,
draw365,seed_0102,released_order,475423,,
draw365,seed_0102,processing,5011337,,
draw365,seed_0102,routing,5011305,,
draw365,seed_0102,survival,1089,1080,9
draw365,seed_0102,repair,1080,,
draw365,seed_0103,released_order,476835,,
draw365,seed_0103,processing,5025194,,
draw365,seed_0103,routing,5025171,,
draw365,seed_0103,survival,1111,1102,9
draw365,seed_0103,repair,1102,,
draw365,seed_0104,released_order,476562,,
draw365,seed_0104,processing,5023031,,
draw365,seed_0104,routing,5023005,,
draw365,seed_0104,survival,1119,1110,9
draw365,seed_0104,repair,1110,,
draw365,seed_0105,released_order,476784,,
draw365,seed_0105,processing,5025013,,
draw365,seed_0105,routing,5024987,,
draw365,seed_0105,survival,1113,1104,9
draw365,seed_0105,repair,1104,,
draw31,seed_0101,released_order,40681,,
draw31,seed_0101,processing,428689,,
draw31,seed_0101,routing,428670,,
draw31,seed_0101,survival,102,93,9
draw31,seed_0101,repair,93,,
draw31,seed_0102,released_order,40237,,
draw31,seed_0102,processing,425091,,
draw31,seed_0102,routing,425069,,
draw31,seed_0102,survival,103,94,9
draw31,seed_0102,repair,94,,
draw31,seed_0103,released_order,40932,,
draw31,seed_0103,processing,431714,,
draw31,seed_0103,routing,431696,,
draw31,seed_0103,survival,104,95,9
draw31,seed_0103,repair,95,,
draw31,seed_0104,released_order,40687,,
draw31,seed_0104,processing,429288,,
draw31,seed_0104,routing,429277,,
draw31,seed_0104,survival,102,93,9
draw31,seed_0104,repair,93,,
draw31,seed_0105,released_order,40724,,
draw31,seed_0105,processing,429183,,
draw31,seed_0105,routing,429164,,
draw31,seed_0105,survival,104,95,9
draw31,seed_0105,repair,95,,
