system,component,station,crps_mean,crps_se,nll_mean,nll_se,n
GroundSim,processing,M1.1,0.8312299699242968,0.001633615219525216,1.7207218942196083,0.0017856154016158703,208027
GroundSim,processing,M1.2,1.2949737842210156,0.0025467525451572503,2.147606333784584,0.0018280293137037955,210311
GroundSim,processing,M2.1,0.8946227743647763,0.0018020420626159133,1.7849315780457127,0.001807347372047398,208016
GroundSim,processing,M2.2,1.1233111927118862,0.002292401762083861,1.9818860121814401,0.0019070726601427398,210301
GroundSim,processing,M3.1,1.3510055290586203,0.0026623974005903174,2.1490756632806085,0.0018057270370866326,240810
GroundSim,processing,M3.2,1.173496361221169,0.0025191207776711884,2.0639848912319327,0.0019337932649011614,177469
GroundSim,processing,M4.1,0.9500026632712733,0.0018907362792687375,1.790496246675548,0.0018258094865144171,240800
GroundSim,processing,M4.2,0.8471212194762784,0.0018630902687083596,1.7275988823442374,0.0019506994431428685,177466
GroundSim,processing,M5,14.462793124163753,0.04023213259622231,4.4746872294190485,0.0029719132541211756,112648
GroundSim,processing,POOLED,1.9091715920625818,0.0035965143987728453,2.0849070907208973,0.0008031748113934281,1785848
DeepSim,processing,M1.1,0.8904109208056264,0.0017017684986333377,1.8088406078792236,0.0018638460993729827,208027
DeepSim,processing,M1.2,1.333684615405391,0.0025995633143137105,2.1885171011483235,0.001871196334937634,210311
DeepSim,processing,M2.1,0.9580121665243229,0.0018636238372660872,1.8761429751944971,0.0018850758676614906,208016
DeepSim,processing,M2.2,1.1611864072866067,0.0023292302039339924,2.032744658994742,0.0019286726211244856,210301
DeepSim,processing,M3.1,1.3943975018977037,0.002688681655675182,2.1987974903583716,0.0018273386265344022,240810
DeepSim,processing,M3.2,1.21110971646076,0.002563492096828455,2.1064968239167157,0.0019844105651046226,177469
DeepSim,processing,M4.1,1.0013341054332678,0.0019242879050155037,1.874166889221035,0.001851730560740593,240800
DeepSim,processing,M4.2,0.9157856604247535,0.0019297459384020057,1.8343951422041946,0.0020560648776702536,177466
DeepSim,processing,M5,15.185504073873293,0.04836873928204652,4.779311022225,0.006182423950779602,112648
DeepSim,processing,POOLED,2.001389035047198,0.004054020047262285,2.168642117701798,0.0009057117709496523,1785848
RefSim-M,processing,M1.1,3.919140064371113,0.005788606955467805,3.3506101427441384,0.0014993247130996137,208027
RefSim-M,processing,M1.2,4.207325067951471,0.005991181603227228,3.4183594180916876,0.00143571245002988,210311
RefSim-M,processing,M2.1,4.878737281083771,0.006994126255713549,3.566316451465672,0.0014387356344384024,208016
RefSim-M,processing,M2.2,5.050552840854442,0.006853538716100295,3.5946358390012927,0.001280418285980185,210301
RefSim-M,processing,M3.1,7.27437212752076,0.008954967236562573,3.9569429994624454,0.0011705234680650328,240810
RefSim-M,processing,M3.2,5.503294686945297,0.009613777434343124,3.7026924223960096,0.001876531491780414,177469
RefSim-M,processing,M4.1,5.6725195416418295,0.006464675833726947,3.7013028113752524,0.0010638820029385578,240800
RefSim-M,processing,M4.2,4.596696723258663,0.007860181546004139,3.5194178935851563,0.0018006080769344512,177466
RefSim-M,processing,M5,24.297070234757495,0.049290582336273606,5.17623468194123,0.002059563374016093,112648
RefSim-M,processing,POOLED,6.397099658387068,0.005319917581093335,3.7084175925571596,0.0005812870864094532,1785848
RefSim-V,processing,M1.1,2.6335594570220446,0.0028351777523048533,2.9144883318502863,0.0009688488665903372,208027
RefSim-V,processing,M1.2,3.44226460572487,0.004048252484586131,3.189881605420026,0.0010719835705966946,210311
RefSim-V,processing,M2.1,2.8257067232842523,0.003114581811791153,2.9828239640695693,0.0009831309129664455,208016
RefSim-V,processing,M2.2,2.937087158743066,0.0035405015812168517,3.023419892676574,0.0010849826541500782,210301
RefSim-V,processing,M3.1,3.704420563476906,0.004235811020466637,3.253325994622534,0.0010162638495845545,240810
RefSim-V,processing,M3.2,3.496497358076907,0.004356216168761456,3.2000698847029785,0.0011165912519867473,177469
RefSim-V,processing,M4.1,2.6012254824854075,0.002921409248928211,2.8942334164507955,0.0009951410743328244,240800
RefSim-V,processing,M4.2,2.515434017646193,0.0030619034850408533,2.8655285607223937,0.0010776825563542168,177466
RefSim-V,processing,M5,15.074086897328465,0.04133782085931578,4.543140255831986,0.002868037354221279,112648
RefSim-V,processing,POOLED,3.785702040085056,0.0036202177499007485,3.1369133252090107,0.0004866747691470822,1785848
RefSim-W,processing,M1.1,3.919140064371113,0.005788606955467805,3.3506101427441384,0.0014993247130996137,208027
RefSim-W,processing,M1.2,4.207325067951471,0.005991181603227228,3.4183594180916876,0.00143571245002988,210311
RefSim-W,processing,M2.1,4.878737281083771,0.006994126255713549,3.566316451465672,0.0014387356344384024,208016
RefSim-W,processing,M2.2,5.050552840854442,0.006853538716100295,3.5946358390012927,0.001280418285980185,210301
RefSim-W,processing,M3.1,7.27437212752076,0.008954967236562573,3.9569429994624454,0.0011705234680650328,240810
RefSim-W,processing,M3.2,5.503294686945297,0.009613777434343124,3.7026924223960096,0.001876531491780414,177469
RefSim-W,processing,M4.1,5.6725195416418295,0.006464675833726947,3.7013028113752524,0.0010638820029385578,240800
RefSim-W,processing,M4.2,4.596696723258663,0.007860181546004139,3.5194178935851563,0.0018006080769344512,177466
RefSim-W,processing,M5,24.297070234757495,0.049290582336273606,5.17623468194123,0.002059563374016093,112648
RefSim-W,processing,POOLED,6.397099658387068,0.005319917581093335,3.7084175925571596,0.0005812870864094532,1785848
