system,station,variant,visit,l1,kl,n_targets
DeepSim,B3.1.1,A_a.1_b.1,1,0.010472078401659535,8.456981326150984e-05,2
DeepSim,B3.1.1,A_a.1_b.2,1,0.001945025881992718,2.939881691542889e-06,2
DeepSim,B3.1.1,A_a.1_b.3,1,0.020957165443591164,0.00021963926452927586,2
DeepSim,B3.1.1,A_a.1_b.4,1,8.141862793514809e-05,-7.2928359271735616e-09,2
DeepSim,B3.1.1,A_a.2_b.1,1,0.02726345417076617,0.0005619428660629082,2
DeepSim,B3.1.1,A_a.2_b.2,1,0.014106375441468921,0.00015827433257843,2
DeepSim,B3.1.1,A_a.2_b.3,1,0.062236404652550203,0.0019404365048592276,2
DeepSim,B3.1.1,A_a.2_b.4,1,0.025537030762462554,0.00032616570770563347,2
DeepSim,B3.1.1,B_a.1_b.2,1,0.019152305317805027,0.0005406418327611046,2
DeepSim,B3.1.1,B_a.2_b.1,1,0.005018818502207645,1.4937353868994026e-05,2
DeepSim,B3.1.1,B_a.2_b.2,1,0.027148900477943466,0.000949014890201192,2
DeepSim,B3.1.1,B_a.2_b.3,1,0.017161332811910845,0.00017343907893300863,2
DeepSim,B3.1.1,B_a.2_b.4,1,0.013544645721859705,0.0001082743024888623,2
DeepSim,B3.1.2,A_a.1_b.1,1,0.011903358879291226,0.00010907964871524189,2
DeepSim,B3.1.2,A_a.1_b.2,1,0.01682130635147197,0.00022586355071041626,2
DeepSim,B3.1.2,A_a.1_b.3,1,0.007670838186727202,2.94106744217937e-05,2
DeepSim,B3.1.2,A_a.1_b.4,1,0.027921175986429347,0.00038993781507216246,2
DeepSim,B3.1.2,A_a.2_b.1,1,0.024526147824420336,0.0004562171863890935,2
DeepSim,B3.1.2,A_a.2_b.2,1,0.08557663162028314,0.006461549880878985,2
DeepSim,B3.1.2,A_a.2_b.3,1,0.05967506201167777,0.0017837245726497475,2
DeepSim,B3.1.2,A_a.2_b.4,1,0.007017682153711902,2.4615549318535938e-05,2
DeepSim,B3.1.2,C_a.1_b.4,1,0.030946874656472667,0.0005594077161951809,2
DeepSim,B3.1.2,C_a.2_b.4,1,0.032529024318574795,0.0006175001598567285,2
DeepSim,InputBuffer,A_a.1_b.1,1,0.0027248267568134033,3.7006670544389563e-06,2
DeepSim,InputBuffer,A_a.1_b.2,1,0.0037717850179088686,7.102779262388708e-06,2
DeepSim,InputBuffer,A_a.1_b.3,1,0.002794669940193728,3.89395854071147e-06,2
DeepSim,InputBuffer,A_a.1_b.4,1,0.011021334574907837,6.07281991426515e-05,2
DeepSim,InputBuffer,A_a.2_b.1,1,0.009440413117113633,4.4552016842077e-05,2
DeepSim,InputBuffer,A_a.2_b.2,1,0.010551480367766874,5.56592115900853e-05,2
DeepSim,InputBuffer,A_a.2_b.3,1,0.030734189091957742,0.00047250878909655715,2
DeepSim,InputBuffer,A_a.2_b.4,1,0.027412520234048998,0.0003758533916989812,2
DeepSim,M4.1,A_a.1_b.1,1,6.440919454927738e-05,1.9201693782790435e-08,2
DeepSim,M4.1,A_a.1_b.2,1,0.00602817119330501,9.213748630900256e-05,2
DeepSim,M4.1,A_a.1_b.3,1,0.0031711804966076257,1.4092242475223764e-05,2
DeepSim,M4.1,A_a.1_b.4,1,0.006511817509278178,4.20672641208604e-05,2
DeepSim,M4.1,A_a.2_b.1,1,0.007198696041546399,0.00029623080539126255,2
DeepSim,M4.1,A_a.2_b.2,1,0.013612247636290827,0.0004495578681517039,2
DeepSim,M4.1,A_a.2_b.3,1,0.01626252752908494,0.0003506401317937193,2
DeepSim,M4.1,A_a.2_b.4,1,0.020591912727976946,0.0004322525421854573,2
DeepSim,M4.1,B_a.1_b.2,1,0.027294472844800313,0.001148800047901355,2
DeepSim,M4.1,B_a.2_b.1,1,0.017410077482561737,0.00019903150777150595,2
DeepSim,M4.1,B_a.2_b.2,1,0.004460059464746341,1.3306420119312858e-05,2
DeepSim,M4.1,B_a.2_b.3,1,0.011295634784649289,6.378831020831602e-05,2
DeepSim,M4.1,B_a.2_b.4,1,0.02387119842597013,0.00037214531273563507,2
DeepSim,M4.1,C_a.1_b.1,1,0.012356968761964196,0.0001863161667008794,2
DeepSim,M4.1,C_a.1_b.3,1,0.004328499824591908,1.4708768524825805e-05,2
DeepSim,M4.1,C_a.1_b.4,1,0.009338184386700255,4.397801749371315e-05,2
DeepSim,M4.1,C_a.2_b.1,1,0.009699757563133321,0.00011403566480986446,2
DeepSim,M4.1,C_a.2_b.3,1,0.004044502619525603,1.2707366643311888e-05,2
DeepSim,M4.1,C_a.2_b.4,1,0.016465859328556653,0.00013663732603992444,2
DeepSim,M4.2,A_a.1_b.1,1,0.0016429775005001035,1.6759624491286353e-05,2
DeepSim,M4.2,A_a.1_b.2,1,0.0011678005936288996,3.5545067143951748e-06,2
DeepSim,M4.2,A_a.1_b.3,1,0.00838624106536448,0.00010017855283071461,2
DeepSim,M4.2,A_a.1_b.4,1,0.025657276299439036,0.0006778481324794198,2
DeepSim,M4.2,A_a.2_b.1,1,0.009548500119806121,0.000504459717469148,2
DeepSim,M4.2,A_a.2_b.2,1,0.00972247644043249,0.0002345081380639765,2
DeepSim,M4.2,A_a.2_b.3,1,0.01333466765587922,0.00023766752421563314,2
DeepSim,M4.2,A_a.2_b.4,1,0.02918486415114077,0.000883306606097296,2
DeepSim,M4.2,B_a.1_b.1,1,0.008875867802480494,0.00013850664338008363,2
DeepSim,M4.2,B_a.1_b.2,1,0.012817622032459466,0.00026618771402141597,2
DeepSim,M4.2,B_a.1_b.3,1,0.0082051827779729,0.00011089794732893968,2
DeepSim,M4.2,B_a.1_b.4,1,0.00503487917569663,4.389015442621529e-05,2
DeepSim,M4.2,B_a.2_b.1,1,0.039225954364070614,0.0009923258229755719,2
DeepSim,M4.2,B_a.2_b.2,1,0.00372854910035067,9.291834705080909e-06,2
DeepSim,M4.2,B_a.2_b.3,1,0.0066365160701989945,2.2011474228973964e-05,2
DeepSim,M4.2,B_a.2_b.4,1,0.03479204765262084,0.0007834694810032843,2
DeepSim,M4.2,C_a.1_b.2,1,0.004983646853562618,1.9276032453410547e-05,2
DeepSim,M4.2,C_a.1_b.4,1,0.01585780228570277,0.0001267404276254075,2
DeepSim,M4.2,C_a.2_b.2,1,0.007920730951639032,4.852814795525476e-05,2
DeepSim,M4.2,C_a.2_b.4,1,0.014096966668915245,0.00010017547765291904,2
DeepSim,M5,A_a.1_b.1,1,0.0028761841907175567,3.446421310862157e-05,2
DeepSim,M5,A_a.1_b.1,2,0.006772238204501697,0.00021270674556830849,2
DeepSim,M5,A_a.1_b.2,1,0.017530373292502524,0.0005598951926091764,2
DeepSim,M5,A_a.1_b.2,2,0.03481659573057423,0.002385859023992843,2
DeepSim,M5,A_a.1_b.3,1,0.008859408667282909,9.493185188453983e-05,2
DeepSim,M5,A_a.1_b.3,2,0.04736853260500927,0.0030120468500440985,2
DeepSim,M5,A_a.1_b.4,1,0.010840360485086659,9.798890839149681e-05,2
DeepSim,M5,A_a.1_b.4,2,0.04676385807770278,0.0019916196752073623,2
DeepSim,M5,A_a.2_b.1,1,0.014222888271121836,0.0007557931941781964,2
DeepSim,M5,A_a.2_b.1,2,0.006256674579702873,0.00015763010421029596,2
DeepSim,M5,A_a.2_b.2,1,0.00908788934110949,0.00014532665944159365,2
DeepSim,M5,A_a.2_b.2,2,0.014696196193496353,0.000388837878673891,2
DeepSim,M5,A_a.2_b.3,1,0.021013290504129978,0.0004979762469014826,2
DeepSim,M5,A_a.2_b.3,2,0.014605611463387833,0.00026179086945406563,2
DeepSim,M5,A_a.2_b.4,1,0.006465766677411916,3.507157594916446e-05,2
DeepSim,M5,A_a.2_b.4,2,0.04758347981116351,0.0020648791123021107,2
DeepSim,M5,B_a.1_b.1,1,0.016217004562784326,0.0003839663311004434,2
DeepSim,M5,B_a.1_b.1,2,0.020100798421389537,0.0005973601269309431,2
DeepSim,M5,B_a.1_b.2,1,0.041644824516605325,0.0021518986867497536,2
DeepSim,M5,B_a.1_b.2,2,0.03555700343847279,0.0015928781782358348,2
DeepSim,M5,B_a.1_b.3,1,0.012746810343027382,0.00023461787804303792,2
DeepSim,M5,B_a.1_b.3,2,0.01012371171947929,0.0001467760150079371,2
DeepSim,M5,B_a.1_b.4,1,0.00504375422606243,3.58627549209606e-05,2
DeepSim,M5,B_a.1_b.4,2,0.005734821959682057,4.6461998769358696e-05,2
DeepSim,M5,B_a.2_b.1,1,0.011271516812995097,6.714654293409322e-05,2
DeepSim,M5,B_a.2_b.1,2,0.011732848284870534,7.274455043402607e-05,2
DeepSim,M5,B_a.2_b.2,1,0.039101759553806015,0.0008012172507567764,2
DeepSim,M5,B_a.2_b.2,2,0.024823118306649572,0.00032980720398565096,2
DeepSim,M5,B_a.2_b.3,1,0.047011005788664684,0.0011554867715559067,2
DeepSim,M5,B_a.2_b.3,2,0.04817548754403922,0.0012130383170348806,2
DeepSim,M5,B_a.2_b.4,1,0.027964765178972895,0.00041906304840509667,2
DeepSim,M5,B_a.2_b.4,2,0.0007254834292433898,2.715334958539777e-07,2
DeepSim,M5,C_a.1_b.1,1,0.06130391118987913,0.0033277288629021858,2
DeepSim,M5,C_a.1_b.1,2,0.020652713477611495,0.0004031624318355607,2
DeepSim,M5,C_a.1_b.2,1,0.028629307315003516,0.0004794071326154996,2
DeepSim,M5,C_a.1_b.2,2,0.029246156642290022,0.0005190458215218862,2
DeepSim,M5,C_a.1_b.3,1,0.00683670347012949,2.793624504936025e-05,2
DeepSim,M5,C_a.1_b.3,2,0.04876527132816494,0.0014630765689303549,2
DeepSim,M5,C_a.1_b.4,1,0.03057157988816578,0.00046903594395946227,2
DeepSim,M5,C_a.1_b.4,2,0.028055822526896645,0.00039493346922477544,2
DeepSim,M5,C_a.2_b.1,1,0.031585115916136,0.0009257908021847901,2
DeepSim,M5,C_a.2_b.1,2,0.029262437310047407,0.0007977012544217298,2
DeepSim,M5,C_a.2_b.2,1,0.007975044819537147,3.804421161222871e-05,2
DeepSim,M5,C_a.2_b.2,2,0.016663861217311116,0.00016707756597781134,2
DeepSim,M5,C_a.2_b.3,1,0.009084719785820206,4.883952326480319e-05,2
DeepSim,M5,C_a.2_b.3,2,0.00025290067522731885,2.976737279762544e-08,2
DeepSim,M5,C_a.2_b.4,1,0.018756027741881176,0.00017637393956520218,2
DeepSim,M5,C_a.2_b.4,2,0.019734422978035793,0.0001952694591299646,2
RefSim-M,B3.1.1,A_a.1_b.1,1,0.6166117336849044,0.20285070807366748,2
RefSim-M,B3.1.1,A_a.1_b.2,1,0.5833882663150957,0.18291479374698905,2
RefSim-M,B3.1.1,A_a.1_b.3,1,0.016611733684904373,0.00013799388857069217,2
RefSim-M,B3.1.1,A_a.1_b.4,1,0.016611733684904373,0.00013799388857069217,2
RefSim-M,B3.1.1,A_a.2_b.1,1,0.6166117336849044,0.20285070807366748,2
RefSim-M,B3.1.1,A_a.2_b.2,1,0.5833882663150957,0.18291479374698905,2
RefSim-M,B3.1.1,A_a.2_b.3,1,0.016611733684904373,0.00013799388857069217,2
RefSim-M,B3.1.1,A_a.2_b.4,1,0.016611733684904373,0.00013799388857069217,2
RefSim-M,B3.1.1,B_a.1_b.2,1,0.7833882663150956,0.354911591505949,2
RefSim-M,B3.1.1,B_a.2_b.1,1,0.41661173368490434,0.08906617716918203,2
RefSim-M,B3.1.1,B_a.2_b.2,1,0.8166117336849044,0.38149281060818674,2
RefSim-M,B3.1.1,B_a.2_b.3,1,0.41661173368490434,0.08906617716918203,2
RefSim-M,B3.1.1,B_a.2_b.4,1,0.41661173368490434,0.08906617716918203,2
RefSim-M,B3.1.2,A_a.1_b.1,1,0.27844911571863185,0.04728914916626763,2
RefSim-M,B3.1.2,A_a.1_b.2,1,0.9215508842813682,0.44734020338969904,2
RefSim-M,B3.1.2,A_a.1_b.3,1,0.3215508842813682,0.05456991925622573,2
RefSim-M,B3.1.2,A_a.1_b.4,1,0.3215508842813682,0.05456991925622573,2
RefSim-M,B3.1.2,A_a.2_b.1,1,0.27844911571863185,0.04728914916626763,2
RefSim-M,B3.1.2,A_a.2_b.2,1,0.9215508842813682,0.44734020338969904,2
RefSim-M,B3.1.2,A_a.2_b.3,1,0.3215508842813682,0.05456991925622573,2
RefSim-M,B3.1.2,A_a.2_b.4,1,0.3215508842813682,0.05456991925622573,2
RefSim-M,B3.1.2,C_a.1_b.4,1,0.07844911571863178,0.0035024463534670466,2
RefSim-M,B3.1.2,C_a.2_b.4,1,0.07844911571863178,0.0035024463534670466,2
RefSim-M,InputBuffer,A_a.1_b.1,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.1_b.2,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.1_b.3,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.1_b.4,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.2_b.1,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.2_b.2,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.2_b.3,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,InputBuffer,A_a.2_b.4,1,0.0013315977677035296,8.865770935212632e-07,2
RefSim-M,M4.1,A_a.1_b.1,1,0.3502887316265233,0.1473917068359059,2
RefSim-M,M4.1,A_a.1_b.2,1,0.29028873162652324,0.08942327585283072,2
RefSim-M,M4.1,A_a.1_b.3,1,0.1902887316265233,0.033701710945697544,2
RefSim-M,M4.1,A_a.1_b.4,1,0.09028873162652326,0.006921761669597397,2
RefSim-M,M4.1,A_a.2_b.1,1,0.3502887316265233,0.1473917068359059,2
RefSim-M,M4.1,A_a.2_b.2,1,0.29028873162652324,0.08942327585283072,2
RefSim-M,M4.1,A_a.2_b.3,1,0.1902887316265233,0.033701710945697544,2
RefSim-M,M4.1,A_a.2_b.4,1,0.09028873162652326,0.006921761669597397,2
RefSim-M,M4.1,B_a.1_b.2,1,0.2302887316265233,0.05167684651318144,2
RefSim-M,M4.1,B_a.2_b.1,1,0.10971126837347672,0.008988035133664751,2
RefSim-M,M4.1,B_a.2_b.2,1,0.10971126837347672,0.008988035133664751,2
RefSim-M,M4.1,B_a.2_b.3,1,0.6097112683734767,0.23240682488474002,2
RefSim-M,M4.1,B_a.2_b.4,1,0.10971126837347672,0.008988035133664751,2
RefSim-M,M4.1,C_a.1_b.1,1,0.1502887316265233,0.020198159119813076,2
RefSim-M,M4.1,C_a.1_b.3,1,0.00971126837347669,7.45910758428274e-05,2
RefSim-M,M4.1,C_a.1_b.4,1,0.7097112683734768,0.3082613568695394,2
RefSim-M,M4.1,C_a.2_b.1,1,0.1502887316265233,0.020198159119813076,2
RefSim-M,M4.1,C_a.2_b.3,1,0.00971126837347669,7.45910758428274e-05,2
RefSim-M,M4.1,C_a.2_b.4,1,0.7097112683734768,0.3082613568695394,2
RefSim-M,M4.2,A_a.1_b.1,1,0.2618046971569839,0.10009279205468868,2
RefSim-M,M4.2,A_a.1_b.2,1,0.20180469715698385,0.05144290007593342,2
RefSim-M,M4.2,A_a.1_b.3,1,0.10180469715698393,0.011252233509333645,2
RefSim-M,M4.2,A_a.1_b.4,1,0.001804697156983892,3.1825737665501248e-06,2
RefSim-M,M4.2,A_a.2_b.1,1,0.2618046971569839,0.10009279205468868,2
RefSim-M,M4.2,A_a.2_b.2,1,0.20180469715698385,0.05144290007593342,2
RefSim-M,M4.2,A_a.2_b.3,1,0.10180469715698393,0.011252233509333645,2
RefSim-M,M4.2,A_a.2_b.4,1,0.001804697156983892,3.1825737665501248e-06,2
RefSim-M,M4.2,B_a.1_b.1,1,0.14180469715698396,0.023015009740604067,2
RefSim-M,M4.2,B_a.1_b.2,1,0.14180469715698396,0.023015009740604067,2
RefSim-M,M4.2,B_a.1_b.3,1,0.14180469715698396,0.023015009740604067,2
RefSim-M,M4.2,B_a.1_b.4,1,0.14180469715698396,0.023015009740604067,2
RefSim-M,M4.2,B_a.2_b.1,1,0.1981953028430161,0.03313125271890062,2
RefSim-M,M4.2,B_a.2_b.2,1,0.1981953028430161,0.03313125271890062,2
RefSim-M,M4.2,B_a.2_b.3,1,0.6981953028430161,0.3342045341726423,2
RefSim-M,M4.2,B_a.2_b.4,1,0.1981953028430161,0.03313125271890062,2
RefSim-M,M4.2,C_a.1_b.2,1,0.09819530284301606,0.008686910320545374,2
RefSim-M,M4.2,C_a.1_b.4,1,0.7981953028430162,0.425589964497975,2
RefSim-M,M4.2,C_a.2_b.2,1,0.09819530284301606,0.008686910320545374,2
RefSim-M,M4.2,C_a.2_b.4,1,0.7981953028430162,0.425589964497975,2
RefSim-M,M5,A_a.1_b.1,1,0.6268560863415122,0.30542245690133435,2
RefSim-M,M5,A_a.1_b.1,2,0.6268560863415122,0.30542245690133435,2
RefSim-M,M5,A_a.1_b.2,1,0.5268560863415124,0.19379798761616063,2
RefSim-M,M5,A_a.1_b.2,2,0.5268560863415124,0.19379798761616063,2
RefSim-M,M5,A_a.1_b.3,1,0.4468560863415123,0.1315645555549557,2
RefSim-M,M5,A_a.1_b.3,2,0.4468560863415123,0.1315645555549557,2
RefSim-M,M5,A_a.1_b.4,1,0.32685608634151225,0.06597934118194725,2
RefSim-M,M5,A_a.1_b.4,2,0.32685608634151225,0.06597934118194725,2
RefSim-M,M5,A_a.2_b.1,1,0.6268560863415122,0.30542245690133435,2
RefSim-M,M5,A_a.2_b.1,2,0.6268560863415122,0.30542245690133435,2
RefSim-M,M5,A_a.2_b.2,1,0.5268560863415124,0.19379798761616063,2
RefSim-M,M5,A_a.2_b.2,2,0.5268560863415124,0.19379798761616063,2
RefSim-M,M5,A_a.2_b.3,1,0.4468560863415123,0.1315645555549557,2
RefSim-M,M5,A_a.2_b.3,2,0.4468560863415123,0.1315645555549557,2
RefSim-M,M5,A_a.2_b.4,1,0.32685608634151225,0.06597934118194725,2
RefSim-M,M5,A_a.2_b.4,2,0.32685608634151225,0.06597934118194725,2
RefSim-M,M5,B_a.1_b.1,1,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.1,2,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.2,1,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.2,2,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.3,1,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.3,2,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.4,1,0.48685608634151234,0.1604454797147584,2
RefSim-M,M5,B_a.1_b.4,2,0.48685608634151234,0.1604454797147584,2
