system,component,station,head,brier_mean,brier_se,n,n_seeds,ece,top_bin_gap
GroundSim,transition,B1.1,,0.0,0.0,201012,10,0.0,0.0
GroundSim,transition,B1.2,,0.0,0.0,202293,10,0.0,0.0
GroundSim,transition,B2.1,,0.0,0.0,201003,10,0.0,0.0
GroundSim,transition,B2.2,,0.0,0.0,202297,10,0.0,0.0
GroundSim,transition,B3.1.1,,0.2573507053141767,0.0013621248947404908,200993,10,0.002731438408302744,0.0
GroundSim,transition,B3.1.2,,0.23926276924286105,0.000993718441068626,202296,10,0.0004913591964250945,0.0
GroundSim,transition,B3.2.1,,0.0,0.0,232418,10,0.0,0.0
GroundSim,transition,B3.2.2,,0.0,0.0,170865,10,0.0,0.0
GroundSim,transition,B4.1,,0.0,0.0,232415,10,0.0,0.0
GroundSim,transition,B4.2,,0.0,0.0,170868,10,0.0,0.0
GroundSim,transition,B5,,0.0,0.0,108430,10,0.0,0.0
GroundSim,transition,InputBuffer,,0.20039185087244898,0.0006806930874880088,403304,10,4.959038343284715e-06,0.0
GroundSim,transition,M1.1,,0.0,0.0,201007,10,0.0,0.0
GroundSim,transition,M1.2,,0.0,0.0,202299,10,0.0,0.0
GroundSim,transition,M2.1,,0.0,0.0,200996,10,0.0,0.0
GroundSim,transition,M2.2,,0.0,0.0,202298,10,0.0,0.0
GroundSim,transition,M3.1,,0.0,0.0,232416,10,0.0,0.0
GroundSim,transition,M3.2,,0.0,0.0,170868,10,0.0,0.0
GroundSim,transition,M4.1,,0.24223509970161095,0.0010517849727071948,232416,10,0.0011274180779293369,-0.0002803645401826538
GroundSim,transition,M4.2,,0.20884157586570087,0.0012243278481975086,170868,10,0.002566952267247222,-0.0020363992005782983
GroundSim,transition,M5,,0.3871424966016397,0.0007610717897136923,108429,10,0.002492137712235568,-0.00010397965290243061
GroundSim,transition,POOLED,,0.0740979135982344,0.00011694415252193402,4249791,10,0.0001712554805636889,-3.563242687509849e-05
GroundSim,arrival,,feature_a,0.27931681389627705,0.0007097174503031356,403306,10,0.0010079599661416074,0.0007500376959630461
GroundSim,arrival,,feature_b,0.5943574402878842,0.0004844910473721441,403306,10,0.001211850788123664,
GroundSim,arrival,,type,0.491810340716264,0.0008413820358251711,403306,10,0.0004011596133531377,
GroundSim,arrival,POOLED,,0.45516153163347506,0.0005613848098176209,1209918,10,0.0006574510770811818,0.0007500376959630461
DeepSim,transition,B1.1,,0.0,0.0,201012,10,0.0,0.0
DeepSim,transition,B1.2,,0.0,0.0,202293,10,0.0,0.0
DeepSim,transition,B2.1,,0.0,0.0,201003,10,0.0,0.0
DeepSim,transition,B2.2,,0.0,0.0,202297,10,0.0,0.0
