system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
GroundSim,processing,M1.1,,0.8280720326009628,0.001798822913090949,201008,10,1.745751019515651,0.0019087444546344872,201008,10,0,,,,,,
GroundSim,processing,M1.2,,1.2967409246691586,0.0019155821273451456,202296,10,2.1632456956512813,0.001670977078268004,202296,10,0,,,,,,
GroundSim,processing,M2.1,,0.8941399851697618,0.0015105763918669332,200996,10,1.8104500096257001,0.0013541399068702819,200996,10,0,,,,,,
GroundSim,processing,M2.2,,1.119080727518962,0.0034758783804925302,202294,10,1.9987565073989721,0.002303246337988603,202294,10,0,,,,,,
GroundSim,processing,M3.1,,1.358671751690112,0.0034940846631896197,232416,10,2.1699679367162155,0.002523273438236354,232416,10,0,,,,,,
GroundSim,processing,M3.2,,1.1796036413921651,0.002172368815398333,170867,10,2.082805437852108,0.0017440052193137354,170867,10,0,,,,,,
GroundSim,processing,M4.1,,0.9483895062458997,0.0024014749173486873,232414,10,1.8210548244443712,0.002286782073223099,232414,10,0,,,,,,
GroundSim,processing,M4.2,,0.8464910463432002,0.0014857620660026973,170868,10,1.7566744781236643,0.001889104573259426,170868,10,0,,,,,,
GroundSim,processing,M5,,14.375360779209094,0.03228777963432386,108425,10,4.4705045020721075,0.0029135624080932634,108425,10,0,,,,,,
GroundSim,processing,POOLED,,1.9029248177678368,0.004159566904005788,1721584,10,2.105683896916166,0.0011427882790428308,1721584,10,0,,,,,,
GroundSim,survival,M1.1,,10405.59417542652,1176.716724879808,164,10,10.312109138256876,0.10353765857938942,174,10,10,,,,,,
GroundSim,survival,M1.2,,16460.958359932058,1711.8163304141679,131,10,10.514475860097793,0.08453496304978557,141,10,10,,,,,,
GroundSim,survival,M2.1,,22833.39300285681,4021.609746003953,54,10,9.966457053097162,0.11580881311422164,64,10,10,,,,,,
GroundSim,survival,M2.2,,25436.75251688209,4619.981429471893,60,10,10.182479337706747,0.13464872278225823,70,10,10,,,,,,
GroundSim,survival,M3.1,,19284.93395094237,2382.9756747608712,129,10,10.764446088962206,0.11949362416013351,139,10,10,,,,,,
GroundSim,survival,M3.2,,16482.972484696045,2765.302807944022,106,10,10.499250618406839,0.14446351917108527,116,10,10,,,,,,
GroundSim,survival,M4.1,,17804.48559376687,1891.6300266385736,94,10,10.388202248284731,0.06264091939683125,104,10,10,,,,,,
GroundSim,survival,M4.2,,27504.939461048412,6809.70657323516,58,10,9.9956091680846,0.19906266699368447,68,10,10,,,,,,
GroundSim,survival,M5,,25104.005185655074,4676.131490820793,46,10,9.986212911242264,0.2712237151747045,55,10,9,,,,,,
GroundSim,survival,POOLED,,18936.176879690145,680.0949046957077,842,10,10.394448375715594,0.033987965589847666,931,10,89,,,,,,
GroundSim,repair,M1.1,,920.5550299138253,64.89121361794767,174,10,8.487002352769519,0.08925069876446867,174,10,0,,,,,,
