stream_set,system,seed,w1
1,GroundSim-DEC,1000,9.83037473980961
1,GroundSim-DEC,1001,28.349005700665565
1,GroundSim-DEC,1002,10.683591331080756
1,GroundSim-DEC,1003,8.967436777259534
1,GroundSim-DEC,1004,8.903595133007688
1,GroundSim-DEC,1005,9.45829919702619
1,GroundSim-DEC,1006,8.223529357999045
1,GroundSim-DEC,1007,7.224476526093974
1,GroundSim-DEC,1008,3.7069023712738085
1,GroundSim-DEC,1009,10.902418622790774
1,DeepSim,1000,6.537614138874835
1,DeepSim,1001,38.53175417214654
1,DeepSim,1002,11.621316833709962
1,DeepSim,1003,9.58710311732366
1,DeepSim,1004,10.196763789183104
1,DeepSim,1005,6.996759245429496
1,DeepSim,1006,9.523221097936887
1,DeepSim,1007,6.960325571763196
1,DeepSim,1008,5.326254457428629
1,DeepSim,1009,4.6515498549813
2,GroundSim-DEC,1000,4.8092856812094835
2,GroundSim-DEC,1001,21.61875079907152
2,GroundSim-DEC,1002,10.634968295665676
2,GroundSim-DEC,1003,8.413833159376715
2,GroundSim-DEC,1004,6.624296604553866
2,GroundSim-DEC,1005,7.36902790925323
2,GroundSim-DEC,1006,9.287616028627706
2,GroundSim-DEC,1007,4.467120876138196
2,GroundSim-DEC,1008,10.171903632791954
2,GroundSim-DEC,1009,9.917764094944431
2,DeepSim,1000,7.593050598167281
2,DeepSim,1001,34.982517432277305
2,DeepSim,1002,13.796701246099188
2,DeepSim,1003,9.996913219724444
2,DeepSim,1004,8.904704826947992
2,DeepSim,1005,4.3173329358236945
2,DeepSim,1006,13.0525909881212
2,DeepSim,1007,11.71577215919189
2,DeepSim,1008,4.57661801101183
2,DeepSim,1009,7.764203808547485
3,GroundSim-DEC,1000,6.986225858792629
3,GroundSim-DEC,1001,32.56989410211605
3,GroundSim-DEC,1002,11.027631802160302
3,GroundSim-DEC,1003,6.057488276274324
3,GroundSim-DEC,1004,6.330212777119792
3,GroundSim-DEC,1005,6.057726934031441
3,GroundSim-DEC,1006,12.306484170922648
3,GroundSim-DEC,1007,7.157945441587912
3,GroundSim-DEC,1008,6.466546343044159
3,GroundSim-DEC,1009,10.51913117491116
3,DeepSim,1000,5.25660844517869
3,DeepSim,1001,31.607998958561218
3,DeepSim,1002,8.99001899487915
3,DeepSim,1003,8.749445088232157
3,DeepSim,1004,10.926372710374817
3,DeepSim,1005,12.804559119747505
3,DeepSim,1006,10.124671957106258
3,DeepSim,1007,9.010812217593323
3,DeepSim,1008,5.488055006979128
3,DeepSim,1009,7.427072125281776
4,GroundSim-DEC,1000,3.924138072831116
4,GroundSim-DEC,1001,27.20465453334074
4,GroundSim-DEC,1002,11.526133416936975
4,GroundSim-DEC,1003,5.378375449380208
4,GroundSim-DEC,1004,11.42632677946612
4,GroundSim-DEC,1005,11.111568708018797
4,GroundSim-DEC,1006,6.8302053349737735
4,GroundSim-DEC,1007,7.449573975127638
4,GroundSim-DEC,1008,3.830207279494802
4,GroundSim-DEC,1009,11.128485257196562
4,DeepSim,1000,7.183119386660071
4,DeepSim,1001,32.60600295256113
4,DeepSim,1002,12.102320684581379
4,DeepSim,1003,12.408511177446314
4,DeepSim,1004,7.714846342366466
4,DeepSim,1005,12.547371700828037
4,DeepSim,1006,16.728592026067012
4,DeepSim,1007,12.951156084274356
4,DeepSim,1008,8.60888984002191
4,DeepSim,1009,7.029837307969152
5,GroundSim-DEC,1000,5.848636294498042
5,GroundSim-DEC,1001,28.863667261861973
5,GroundSim-DEC,1002,14.54599340456012
5,GroundSim-DEC,1003,5.977968089431277
5,GroundSim-DEC,1004,8.89584379308539
5,GroundSim-DEC,1005,10.023372984289777
5,GroundSim-DEC,1006,7.628225374769621
5,GroundSim-DEC,1007,9.455012477566026
5,GroundSim-DEC,1008,5.641305635940853
5,GroundSim-DEC,1009,9.886751437620784
5,DeepSim,1000,8.595948494844087
5,DeepSim,1001,26.02143045462916
5,DeepSim,1002,13.262881383099131
5,DeepSim,1003,7.872829655361439
5,DeepSim,1004,5.264148078700856
5,DeepSim,1005,9.683455990482596
5,DeepSim,1006,14.937775044285203
5,DeepSim,1007,7.1411627750177225
5,DeepSim,1008,7.7940778881617465
5,DeepSim,1009,9.613205964949252
