system,ref,seed,w1,ks_d
GroundSim-DEC,GroundSim,1000,9.83037473980961,0.00424166201603704
GroundSim-DEC,GroundSim,1001,28.349005700665565,0.02412673809422705
GroundSim-DEC,GroundSim,1002,10.683591331080756,0.01295196148026656
GroundSim-DEC,GroundSim,1003,8.967436777259534,0.0075917738188467365
GroundSim-DEC,GroundSim,1004,8.903595133007688,0.016027980553372623
GroundSim-DEC,GroundSim,1005,9.45829919702619,0.010508039775960765
GroundSim-DEC,GroundSim,1006,8.223529357999045,0.01130152976107801
GroundSim-DEC,GroundSim,1007,7.224476526093974,0.00685411923183904
GroundSim-DEC,GroundSim,1008,3.7069023712738085,0.01452020611598695
GroundSim-DEC,GroundSim,1009,10.902418622790774,0.006576413285275584
DeepSim,GroundSim,1000,11.16259248710877,0.017510647508059807
DeepSim,GroundSim,1001,35.41052090565542,0.019551521296408247
DeepSim,GroundSim,1002,8.852014237285287,0.004966902886527791
DeepSim,GroundSim,1003,10.806681076639883,0.009360708513743626
DeepSim,GroundSim,1004,12.118438784856973,0.025839816514779512
DeepSim,GroundSim,1005,10.813564993572449,0.013266255586130482
DeepSim,GroundSim,1006,13.922403725374915,0.018351612998498634
DeepSim,GroundSim,1007,9.78830686519958,0.005792018944130062
DeepSim,GroundSim,1008,6.060421137974792,0.011359787298138219
DeepSim,GroundSim,1009,10.975572325358467,0.007953337183479237
RefSim-M,GroundSim,1000,28.09289545870506,0.07024514133726883
RefSim-M,GroundSim,1001,27.632012841706917,0.058056171373915555
RefSim-M,GroundSim,1002,30.602715570478697,0.07725572397024061
RefSim-M,GroundSim,1003,29.97797783006053,0.08126690146413695
RefSim-M,GroundSim,1004,22.42139926802511,0.06626261117936183
RefSim-M,GroundSim,1005,32.067292211614614,0.08451354999697325
RefSim-M,GroundSim,1006,28.27308719536322,0.07377640373106165
RefSim-M,GroundSim,1007,28.009152983894893,0.07562471775482588
RefSim-M,GroundSim,1008,24.470514500829573,0.06987518881517385
RefSim-M,GroundSim,1009,29.12418516277721,0.07578635195759292
RefSim-V,GroundSim,1000,18.65576181352059,0.03980005281730892
RefSim-V,GroundSim,1001,31.96731003178081,0.04779427572899442
RefSim-V,GroundSim,1002,25.13331924071835,0.036914687093951515
RefSim-V,GroundSim,1003,25.194995088201882,0.0317979522205728
RefSim-V,GroundSim,1004,19.92643351458063,0.04098293097321315
RefSim-V,GroundSim,1005,23.72896372560261,0.03635272901914943
RefSim-V,GroundSim,1006,25.476195420735316,0.04496956602885971
RefSim-V,GroundSim,1007,17.385709480199495,0.03222587514522035
RefSim-V,GroundSim,1008,19.35396839679069,0.038707707441743344
RefSim-V,GroundSim,1009,20.47071743971653,0.037318304330183016
RefSim-W,GroundSim,1000,32.53102458639164,0.07724740241794636
RefSim-W,GroundSim,1001,33.33899254954089,0.07151584316626358
RefSim-W,GroundSim,1002,28.390110556417838,0.08064697784028046
RefSim-W,GroundSim,1003,25.138045647736618,0.06419550534007679
RefSim-W,GroundSim,1004,24.36592514330041,0.06534394851820408
RefSim-W,GroundSim,1005,29.880468366217073,0.07825302177315452
RefSim-W,GroundSim,1006,30.00869836477965,0.07467286647428345
RefSim-W,GroundSim,1007,28.690433562059496,0.07399752985050717
RefSim-W,GroundSim,1008,22.849912837375086,0.07134607726361814
RefSim-W,GroundSim,1009,31.355619012514985,0.07504100584627676
